,game_id,play_id,home_team_pred_proba_plus,away_team_pred_proba_plus,game_seconds_remaining
452622,2018120211,4242,0.53186329787195,0.46813670212805003,42.0
452623,2018120211,4298,0.6678788973855618,0.33212110261443817,36.0
452624,2018120211,4378,0.7354523852805204,0.26454761471947963,20.0
452742,2018120213,4038,0.9900034941279175,0.00999650587208245,244.0
452743,2018120213,4060,0.9907582749271654,0.009241725072834606,204.0
452744,2018120213,4082,0.991266583056232,0.008733416943767947,157.0
452745,2018120213,4107,0.9882995301163966,0.011700469883603404,128.0
452746,2018120213,4129,0.9892366801542205,0.010763319845779495,123.0
452747,2018120213,4171,0.9893086457841811,0.010691354215818905,114.0
452748,2018120213,4193,0.9878031852669428,0.012196814733057226,90.0
452749,2018120213,4215,0.98889789669956,0.011102103300440036,86.0
452750,2018120213,4270,0.9857902886698297,0.01420971133017035,78.0
452751,2018120213,4295,0.9839634870815741,0.016036512918425894,52.0
452752,2018120213,4330,0.9853741792406712,0.014625820759328834,46.0
452753,2018120213,4361,0.9858596802395293,0.014140319760470699,42.0
452754,2018120213,4403,0.983059820910645,0.016940179089354968,36.0
452755,2018120213,4457,0.9840152624175933,0.015984737582406705,31.0
452756,2018120213,4479,0.9857628195386017,0.014237180461398324,25.0
452757,2018120213,4524,0.9882489781577398,0.011751021842260179,23.0
452758,2018120213,4544,0.9936510754394694,0.0063489245605306,17.0
452893,2018120212,4034,0.9463442361145402,0.053655763885459784,120.0
452894,2018120212,4056,0.9491742951965331,0.05082570480346693,114.0
452895,2018120212,4089,0.9423817646969895,0.05761823530301047,109.0
452896,2018120212,4128,0.9425485763397148,0.05745142366028522,104.0
452897,2018120212,4167,0.9445010328065622,0.05549896719343783,99.0
452898,2018120212,4189,0.941961661611728,0.05803833838827199,54.0
452899,2018120212,4206,0.9261084882197259,0.07389151178027409,48.0
452900,2018120212,4231,0.9202509158883819,0.07974908411161807,30.0
452901,2018120212,4258,0.95408097164174,0.045919028358260006,21.0
453031,2018120208,4007,0.4585347393752063,0.5414652606247937,72.0
453032,2018120208,4039,0.3926398581059942,0.6073601418940058,27.0
453033,2018120208,4078,0.39287636474271326,0.6071236352572867,21.0
453034,2018120208,4189,0.38079340180834587,0.6192065981916541,0.0
453290,2018120600,4019,0.9923635968515994,0.007636403148400639,120.0
453291,2018120600,4044,0.9942817395735349,0.0057182604264650605,71.0
453292,2018120600,4066,0.9936358176232153,0.0063641823767847105,34.0
453410,2018120900,4007,0.5465158137061094,0.45348418629389065,255.0
453411,2018120900,4036,0.6407938515084033,0.3592061484915967,210.0
453412,2018120900,4062,0.632206702033404,0.367793297966596,167.0
453413,2018120900,4101,0.6319388064436526,0.36806119355634737,160.0
453414,2018120900,4123,0.6074542623006274,0.3925457376993726,155.0
453415,2018120900,4182,0.5546541734269406,0.44534582657305943,145.0
453416,2018120900,4207,0.5383048610116237,0.46169513898837633,138.0
453417,2018120900,4229,0.5559198967342509,0.4440801032657491,134.0
453418,2018120900,4268,0.5257573003431008,0.47424269965689925,120.0
453419,2018120900,4338,0.5390661811419074,0.4609338188580926,114.0
453420,2018120900,4373,0.4133457960580297,0.5866542039419703,108.0
453421,2018120900,4456,0.4164884377769491,0.5835115622230509,103.0
453422,2018120900,4482,0.44701559268836477,0.5529844073116352,98.0
453423,2018120900,4532,0.4659886006574594,0.5340113993425406,82.0
453424,2018120900,4606,0.3109834811119042,0.6890165188880958,71.0
453425,2018120900,4632,0.29074142199288655,0.7092585780071134,67.0
453426,2018120900,4659,0.21826390371371684,0.7817360962862832,59.0
453427,2018120900,4685,0.236572989825527,0.763427010174473,30.0
453555,2018120908,4000,0.013161571508500947,0.986838428491499,264.0
453556,2018120908,4022,0.013636468371941546,0.9863635316280585,221.0
453557,2018120908,4044,0.011879971292829916,0.9881200287071701,176.0
453558,2018120908,4066,0.012472609156782277,0.9875273908432177,139.0
453559,2018120908,4088,0.01366064921084953,0.9863393507891505,134.0
453560,2018120908,4164,0.009903793242739156,0.9900962067572608,126.0
453561,2018120908,4203,0.010280163564606037,0.989719836435394,120.0
453562,2018120908,4225,0.011536786690010126,0.9884632133099899,78.0
453563,2018120908,4247,0.009501725636413716,0.9904982743635863,34.0
453693,2018120907,4047,0.06909657748111941,0.9309034225188806,193.0
453694,2018120907,4069,0.06434462743229463,0.9356553725677054,154.0
453695,2018120907,4108,0.06847015807880241,0.9315298419211976,120.0
453696,2018120907,4147,0.08972911727907973,0.9102708827209203,75.0
453697,2018120907,4181,0.081654210846367,0.918345789153633,72.0
453698,2018120907,4203,0.07473698312242841,0.9252630168775716,68.0
453699,2018120907,4228,0.09466640100188313,0.9053335989981168,46.0
453700,2018120907,4253,0.10573437345892002,0.89426562654108,26.0
453701,2018120907,4284,0.1270358956986333,0.8729641043013667,20.0
453702,2018120907,4339,0.10052161361313863,0.8994783863868614,9.0
453703,2018120907,4367,0.06241991456125817,0.9375800854387418,1.0
453831,2018120906,4028,0.20505332658785747,0.7949466734121425,110.0
453832,2018120906,4069,0.2065673790225686,0.7934326209774314,106.0
453833,2018120906,4091,0.2263873439894024,0.7736126560105976,65.0
453834,2018120906,4130,0.2554120697709481,0.7445879302290519,21.0
453835,2018120906,4172,0.2960099278732514,0.7039900721267486,7.0
453965,2018120905,4037,0.21851491419271038,0.7814850858072896,89.0
